"Entity","Code","Year","Annual.CO..emissions","Region"
"Austria","AUT",1807,168544,"Western Europe"
"Austria","AUT",1819,252815.98,"Western Europe"
"Austria","AUT",1820,333424,"Western Europe"
"Austria","AUT",1821,359072,"Western Europe"
"Austria","AUT",1822,366400,"Western Europe"
"Austria","AUT",1823,348080,"Western Europe"
"Austria","AUT",1824,399376,"Western Europe"
"Austria","AUT",1825,403040,"Western Europe"
"Austria","AUT",1826,458000,"Western Europe"
"Austria","AUT",1827,476320,"Western Europe"
"Austria","AUT",1828,458000,"Western Europe"
"Austria","AUT",1829,476320,"Western Europe"
"Austria","AUT",1830,494640,"Western Europe"
"Austria","AUT",1831,479984,"Western Europe"
"Austria","AUT",1832,512960.03,"Western Europe"
"Austria","AUT",1833,428688,"Western Europe"
"Austria","AUT",1834,586240,"Western Europe"
"Austria","AUT",1835,633872,"Western Europe"
"Austria","AUT",1836,674176,"Western Europe"
"Austria","AUT",1837,707152,"Western Europe"
"Austria","AUT",1838,850048,"Western Europe"
"Austria","AUT",1839,1058896,"Western Europe"
"Austria","AUT",1840,1168816,"Western Europe"
"Austria","AUT",1841,1319040,"Western Europe"
"Austria","AUT",1842,1458272,"Western Europe"
"Austria","AUT",1843,1267744,"Western Europe"
"Austria","AUT",1844,1593840,"Western Europe"
"Austria","AUT",1845,1799024,"Western Europe"
"Austria","AUT",1846,2114128,"Western Europe"
"Austria","AUT",1847,2081152,"Western Europe"
"Austria","AUT",1848,2333968,"Western Europe"
"Austria","AUT",1849,2260688,"Western Europe"
"Austria","AUT",1850,2326640,"Western Europe"
"Austria","AUT",1851,2333968,"Western Europe"
"Austria","AUT",1852,2810288,"Western Europe"
"Austria","AUT",1853,3224320,"Western Europe"
"Austria","AUT",1854,3176688,"Western Europe"
"Austria","AUT",1855,3700640,"Western Europe"
"Austria","AUT",1856,4231920,"Western Europe"
"Austria","AUT",1857,4873120,"Western Europe"
"Austria","AUT",1858,7243728,"Western Europe"
"Austria","AUT",1859,5866064,"Western Europe"
"Austria","AUT",1860,6148192,"Western Europe"
"Austria","AUT",1861,6379024,"Western Europe"
"Austria","AUT",1862,6353376,"Western Europe"
"Austria","AUT",1863,5877056,"Western Europe"
"Austria","AUT",1864,5074640,"Western Europe"
"Austria","AUT",1865,5353104,"Western Europe"
"Austria","AUT",1866,3594384,"Western Europe"
"Austria","AUT",1867,4913424,"Western Europe"
"Austria","AUT",1868,6071248,"Western Europe"
"Austria","AUT",1869,6485280,"Western Europe"
"Austria","AUT",1870,7364640,"Western Europe"
"Austria","AUT",1871,10141952,"Western Europe"
"Austria","AUT",1872,10006384,"Western Europe"
"Austria","AUT",1873,10728192,"Western Europe"
"Austria","AUT",1874,9152672,"Western Europe"
"Austria","AUT",1875,7859280,"Western Europe"
"Austria","AUT",1876,8090111.5,"Western Europe"
"Austria","AUT",1877,7284032,"Western Europe"
"Austria","AUT",1878,7240064,"Western Europe"
"Austria","AUT",1879,8863216,"Western Europe"
"Austria","AUT",1880,23647456,"Western Europe"
"Austria","AUT",1881,10314160,"Western Europe"
"Austria","AUT",1882,10599952,"Western Europe"
"Austria","AUT",1883,11761440,"Western Europe"
"Austria","AUT",1884,11460992,"Western Europe"
"Austria","AUT",1885,12047232,"Western Europe"
"Austria","AUT",1886,11369392,"Western Europe"
"Austria","AUT",1887,12256080,"Western Europe"
"Austria","AUT",1888,11951968,"Western Europe"
"Austria","AUT",1889,12875296,"Western Europe"
"Austria","AUT",1890,13036512,"Western Europe"
"Austria","AUT",1891,14945456,"Western Europe"
"Austria","AUT",1892,14465472,"Western Europe"
"Austria","AUT",1893,17700784,"Western Europe"
"Austria","AUT",1894,18129472,"Western Europe"
"Austria","AUT",1895,20371840,"Western Europe"
"Austria","AUT",1896,21298832,"Western Europe"
"Austria","AUT",1897,23020912,"Western Europe"
"Austria","AUT",1898,24453536,"Western Europe"
